sentiment,negative_reason,text
positive,,"b""We had a fantastic turnout yesterday and today for our Election Day volunteer training sessions! We're ready bring it home on Monday! \xf0\x9f\x99\x8c\n\n#TeamBaker #elxn43 #cdnpoli #etobicokecentre #chooseforward https://t.co/yfqu06s8hZ"""
positive,,"b""We have come so far, yet most people still don't know we exist. When going door to door today, less than 15% heard of our party.\n\ntell everyone you know about us. The more votes we get the better for next election. EVERY vote counts\n\n#PierrefondsDollard #PPC2019 #canpoli #elxn43 https://t.co/3jf09JAST1"""
positive,,"b""Well, even the $40B deficit figure is far, far short of the Harper record $54B deficits.\n\nNo one seems to ever remember that. \n\nAnd I think it is only $1B more than Mulroney's $39B old record deficit. \n\nTrudeau has never come close to those old numbers.\n\n#cdnpoli #elxn43 https://t.co/8V95Pn4x2F"""
negative,Others,"b""Well, I guess we're going to have another federal election in (about) a year. #elxn43 #nonconfidence"""
positive,,"b""We're almost at the finish line -- two more days to help elect MP's who will work across party lines for bold climate action and a Green New Deal. Let's roll! \n\n#Elxn43 #CanadaVotes2019 #Cooperate4Climate https://t.co/Z3qUb4khiU"""
positive,,"b""We're down to the wire in #Elxn43. @ConnorMoen306 needs your help in #YorktonMelville! Lend a hand at Connor's campaign to help #GetOutTheVote at https://t.co/BEkeBX1osk #CDNpoli #RepresentationMatters https://t.co/CgGFAGi127"""
negative,Economy,"b""We're gonna build great programs we may not need, or that may not be effective. And we're gonna make your grandchildren pay for it! #progressive #deficits #cdnpoli #elxn43 https://t.co/zcop5Zm7MG"""
positive,,"b""We're officially endorsing @DanaTaylor4MP from the @CanadianGreens for the West Vancouver - Sunshine Coast - Sea to Sky riding. Please vote on Monday October 21st! #elxn43 #cdnpoli \nhttps://t.co/C1qb1U1pM1"""
positive,,"b""We've got a primer for every York Region riding heading into Monday's vote. #elxn43 #cdnpoli #vote2019 https://t.co/bWxi5h1NTy"""
positive,,"b""We've got a primer for every York Region riding heading into Monday's vote. #elxn43 #cdnpoli #vote2019 https://t.co/fbfiOLEvqz"""
positive,,"b""We've got a primer for every York Region riding heading into Monday's vote. #elxn43 #cdnpoli #vote2019 https://t.co/P6AoCuTYmP"""
positive,,"b""We've made important progress over the last four years -- and we'll continue to move forward on priorities like this. It's in our platform -- and you can find it here:  https://t.co/643HuBJ7fU #elxn43\n#VanGran #cdnpoli https://t.co/EB3jZ3SEk5"""
negative,Others,"b""What an incredible loss of access to knowledge. EBooks through the library represent an incredible Accessible Resource four millions of Canadians.  Sincerely hope Tuesday's government recognizes this. #elxn43 #ebooksforall\n#library #accessiblility https://t.co/xMLRAVa4Bv"""
negative,Others,"b""what are you guys up to today? i'm watching videos of \n@theJagmeetSingh and crying\n\n#elxn43 #UpRiSingh"""
negative,Scandal,"b""WHAT IS SCHEER TRYING TO HIDE? Vendor relationships HAVE to be public in gov'ts, THIS IS TOTAL B.S.!! vendor relations are MOST LIKELY TO BE CORRUPTED&amp;POLITICIANS TO POCKET BRIBES, is that why Scheer doesn't want to comment? you can't help wonder #cdnpoli #elxn43 #ChooseForward"""
negative,Tell lies,"b""What is the point of @ElectionsCan_E rules if Scheer and the CPC can lie, hire bots and trolls to take down other parties with fake news and make a mockery of Canada's electoral system? We need a system that holds parties accountable with REAL consequences. #elxn43 #cdnpoli"""
positive,,"b""What will you do when the equalization payments stop coming because Alberta's economy is killed off? Alberta suffers so does the east. #elxn43 #elxn2019 https://t.co/V8tGWZfesj"""
negative,Scandal,"b""Whatever you think of Trudeau and his Blackface past, it's pretty big to get endorsements of Obama and MLK's son to counter. Also, puts Black Canadian ultra progressives in an awkward spot to first have to delicately discredit Obama and now MLK's son. #cdnpoli #elxn43"""
negative,Others,"b""What's that now \xe2\x80\xa6..4th or 5th election in a row where @CPC_HQ falls off the ethics shelf? - hard! #elxn43"""
positive,,"b""What's the difference between the Greens and the NDP?\n#GPC #elxn43 #canpoli #cdnpoli #canadaelection2019 #TorDan @ElizabethMay @CanadianGreens @SGIGreens @younggreenscan https://t.co/6g1Lm4lCAj"""
negative,Climate Problem,"b""What's wrong with Liberals climate approach? Everything!\nIt's based on inaccurate IPCC modeling vs REAL DATA SCIENCE. FACT: There is NO CLIMATE CRISIS  https://t.co/7QlNZWNgf5 #elxn43\n #cdnpoli #OttawaCentre"""
positive,,"b""Where should the average Canadian focus their attention in this federal #election? #cdnpoli #polcan #SaturdayThoughts #ItsOurVote #Elxn43\nIn this week's #podcast, we discuss #politics, #climate and #animalwelfare topics that you should consider.\nhttps://t.co/P4esb6BYIp"""
positive,,"b""Where's Manny?\n\n#KinsellaGate #MannyOttawa #elxn43 #cdnpolil\n\nThe LibCons are all the UNiparty.\n\nCanadians's have ONE choice on Monday to keep \xf0\x9f\x8d\x81"""
positive,,"b""Whether it's with one person or thousands. Fighting to make life easier for Canadians is what I'm in this for. #elxn43 #UpRiSingh https://t.co/JQ9f3XJ32R"""
positive,,"b""Why @theJagmeetSingh should NOT be Prime Minister of Canada\n\nThe guy is honest and upfront , that's bad\n\nConLIb Leader like Trudeau , Blanchet , Scheer say they love and respect everyone because of the election , the disrespect is for the next 4 years\n\n#polcan #elxn43"""
negative,Healthcare,"b""Why @theJagmeetSingh should not be the next Prime Minister of Canada :\n\nDentalcare , that's bad how can we pay for that after we pay for foreign profit in Oil &amp; Gas \n\nPharmacare , that's really bad good medicine is supposed to cost you your health\n\n#polcan #elxn43"""
positive,,"b""Why @theJagmeetSingh should NOT be the next Prime Minister of Canada :\n\nHe as no Racist anti immigrant candidate , that's bad\n\nHe does not put women back in the kitchen or propose to remove their rights , that's bad\n\ndid a positive Campaign , that's really bad\n\n#polcan #elxn43"""
positive,,"b""Why @theJagmeetSingh should NOT be the next Prime Minister of Canada\n\nThe guy work for normal people , that's bad\n\nOnly one to have a balanced and realistic budget and will demand tax fraud pay their shares , that's bad\n\nThe guy is not White , that's bad\n\n#polcan #elxn43"""
negative,Privilege,"b""Why @theJagmeetSingh will NOT to be the next Prime Minister of Canada \n\nHe ask Canadians citizens and future Canadians to dream Big ...\n\nThat's bad only the 1% can dream big and have the rest of us pay for it \n\n#polcan #elxn43"""
positive,,"b""Why hasn't @CBCNews tweeted this streaming link yet? @MaximeBernier is doing a news conference about @AndrewScheer  and @CPC_HQ. #KinsellaGate #Kinsellouts #ProjectCactus #elxn43 #cdnpoli https://t.co/SFz0yb7ah8"""
negative,Tell lies,"b""Why the @theJagmeetSingh should NOT be the next Prime Minister of Canada \n\nHe does not have a hidden agenda or hidden citizenship !! That's really really Bad\n\nThe guy as no need for face paint coloring , that's realy bad for the costume industry !!\n\n#polcan #elxn43"""
positive,,"b""Would you hire someone who didn't show up for a job interview? If not, why vote for @JustinaCPC? On the other hand @MelissaCoenraad @ScottMillerPPC @karenmccrimmon &amp; @purdygreenKC vote for someone who came out to earn your vote. #TeamCoenraad #elxn43 #cdnpoli #ThePhantomCandidate https://t.co/JiLfL4vuL6"""
positive,,"b""Wow. What a lose. Like I have  said he's just another liberal in blue  #LibCon So glad I voted for integrity and Canadian values. @MaximeBernier and the #PPC earned my vote. #elxn43 https://t.co/KYnnNcQRiZ"""
positive,,"b""Yeah it is dirty, yes it is labour intensive, but at the end of the day, burning plentiful coal for reliable electrical power (or to make good steel) isn't exactly kicking a puppy or anything; fringe benefit in doing so is the immediate creation of good, honest JOBS. #elxn43"""
positive,,"b""Yep I'm not giving up my country for this #republicanNorth greed, the smear campaigns Fed. Provincially via the Maclean'sGang is despicable. #votingLiberal to end this #invasionBystealth #elxn43 #raisetheBar #standonGuardCanada https://t.co/Q861V16TdV"""
negative,Others,"b""Yes! Good mice, join the #UpRiSingh! The mice are knocking on doors in the streets of #Mouseland, talking about how to get our fair share of cheese. On Monday, don't forget to march to the polls to mark your X for the Mighty Mouse who is #InItForYou! \xf0\x9f\xa7\xa1\xf0\x9f\x8d\x8a\n\xf0\x9f\x90\xad\xf0\x9f\xa7\x80\n#cdnpoli #elxn43 https://t.co/MxAWCWOLmq"""
positive,,"b""Yes. You. Have. \nLet's do this indeed!\n@theJagmeetSingh \n@NDP \n#elxn43 \n#UpRiSingh https://t.co/4HShJK5KAj"""
negative,Privilege,"b""Yes; who cares about underhanded backroom dealings? Let's hear more about the Conservatives' plan to put more $$s in the pockets of their CAPP buddies by removing the GST from home heating, at a cost of $1.4-billion a year by 2024 .. #cdnpoli #ableg #elxn43 @OilGasCanada @CPC_HQ https://t.co/HGsbPLgLfg"""
positive,,"b""Yesterday's climate strike in Edmonton. \n\nWe need people in Parliament that are actually listening to the science. \n\n#cdnpoli #elxn43 #climatestrikeYEG #climatestrike #fridaysforfuture https://t.co/qYHUnBbDDZ"""
negative,Privilege,"b""Yikes! Maybe this is why I was flown in and out of Toronto so fast today?\n\nLot's of #TeamTrudeau baggage to haul!\n\n#TwoPlaneTrudeau \xe2\x9c\x88\xe2\x9c\x88 #cdnpoli #elxn43 \n\n\xe2\xac\x87\xe2\xac\x87 https://t.co/oMA8lVz75A"""
negative,Women Reproductive right and Racism,"b'""You let the Trump government decide whether we protect black and brown refugees"" is, for people serious about fighting racism, the equivalent of ""you bought a pipeline"" for people who care about climate change.  It should be a deal breaker. #ndp #cdnpoli #Elxn43'"
negative,Others,"b""'You need to be defeated and replaced.'\n#cdnpoli #elxn43 https://t.co/9Ft4U4Umwq"""
positive,,"b'""Young Canadians have grown up in the shadows of older generations who until now have had the most power in shaping our electorate ... But not anymore.\xe2\x80\x9d\n\nhttps://t.co/RqtG1gcggy\n\n#elxn43 #cdnpoli #Millennials #GenZ'"
negative,Tell lies,"b""Your memory is apparently selective but let me remind you, \n\nyou spent your last few years with your nose buried deeply in NDP crack. \n\nYou aren't really credible in your critique of them today. \n\n#bcpoli #cdnpoli #elxn43 https://t.co/0QUhUK4qpe"""
positive,,"b""You've all wondered, and know you can know. What is Michael Wassilyn's story, and why is he running? #Guelph #elxn43\nhttps://t.co/wQMTBSRR4r"""
positive,,"b'#AndrewCoyne\'s father was Governor of the Bank of Canada. Despite this, he is the most-perfect exemplar of the de-assimilated Irishman. ""Won\'t somebody please think of the immigrants?!"" #elxn43  https://t.co/BtVJEo0DKo'"
positive,,b'#AnxiousAndrew isn\xe2\x80\x99t at all threatened by the far-right PPC \xf0\x9f\x98\x8f #cdnpoli #polcan #elxn43 #ItsOurVote https://t.co/SWMa8i6VSQ'
negative,Others,b'#AnxiousAndrew isn\xe2\x80\x99t at all threatened by the far-right PPC \xf0\x9f\x98\x8f #cdnpoli\xc2\xa0 #polcan\xc2\xa0 #elxn43\xc2\xa0 #ItsOurVote https://t.co/6pighecNzU'
positive,,b'#AnxiousAndrew isn\xe2\x80\x99t at all threatened by the far-right PPC \xf0\x9f\x98\x8f #cdnpoli\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 #polcan\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 #elxn43\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 #ItsOurVote https://t.co/hZxLnRpPKS'
positive,,"b'#BREAKING #Elxn43 \n\nCP pulls ahead, headed for a majority mandate. https://t.co/OYlNuTVTbZ'"
negative,Others,"b'#BREAKING: Insider says Cons are \xe2\x80\x9cmorally &amp; intellectually bankrupt\xe2\x80\x9d.\n\nAnd, they\xe2\x80\x99ve done what they did to him to COUNTLESS, COUNTLESS others. It has corrupted, perverted, co-opted &amp; ruined our collective reality &amp; ENTIRE communities.\n\nThey. Are. BAD. Guys.\n\n#ChooseForward #elxn43 https://t.co/EfUUGxE3CQ'"
positive,,b'#Canada #cdnpoli #elxn43 \nI think many more Canadians will be following suit! \nDid you see this @KanataOf \nhttps://t.co/n7BLgbz6Or'
negative,Others,"b'#Canada #elxn43 #cdnpoli The ""LIFESTYLE"" is an end to any values as we know them! I will not sit and accept this ""LIFESTYLE"" to infiltrate our COUNTRY! #TrudeauMustGo https://t.co/XqUjvegyAP'"
negative,Others,b'#Canada PARIS ACCORD The one Andrew Scheer WILL NOT TAKE US OUT OF! #elxn43 #cdnpoli \nWAKE UP CANADA! CHECK OUT @KanataOf for how and why we are being led down the wrong path! https://t.co/ElcqkNU4rO'
positive,,b'#Canada take the 5 minutes to listen and learn! #elxn43 #cdnpoli https://t.co/YriHrkQGuO'
positive,,"b'#CanadaVotes \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 #cdnpoli  #elxn43  - Poll Tracker - The Liberals have regained their seat advantage over the Conservatives, but remain in a close national race in public support and well below the threshold required for a majority government. https://t.co/T4HcSwcu0e'"
negative,Scandal,"b'#CanadaVotes2019 #elxn43  #cdnpoli  - THE FACTS - Ethics watchdog pushes for \'collusion\' probe of #Conservatives and Canada\'s largest oil and gas lobby group stand accused of possibly ""colluding"" in violation of the country\'s elections law https://t.co/GKGqDmdhnV'"
negative,Scandal,b'#CanadaVotes2019 #elxn43 #cdnpoli - THE FACTS - #AndrewScheer - American Andrew Scheer avoids answering repeated questions in relation to his campaign doing American style of a smear campaign against his opponent #MaximeBernier Conservatives fear mongering never change! https://t.co/MJzniRxDqK'
negative,Scandal,"b'#CanadaVotes2019 \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 #elxn43  #cdnpoli  - THE FACTS - Ontario #Conservative Party face lawsuit over election where the party allowed ""ballot stuffing"" and illegal voting by unqualified people, including #DougFord\'s family members! (anything for a win) https://t.co/dHSduJx2hF'"
positive,,b'#Canadian Politics Today\n\n#elxn43 #CANADA #POLITICS #NEWS #cdnpoli #canpoli #polcan #nlpoli #PEIpoli #nspoli #nbpoli #polqc #qcpoli #onpoli #mbpoli #skpoli #abpoli #bcpoli #ykpoli #NWTpoli #cpc #lpc #ndp #gpc #Trudeau #ScheerLies #StopScheer #scheer\nhttps://t.co/wmN55vNCjV'
negative,Climate Problem,b'#CarbonTax set to be 33 cents per litre by 2022.  That\xe2\x80\x99s the @liberal_party way.  With a coalition our gas will be well over $2 per litre.  Canada. Can you afford this?  #cdnpoli #elxn43 https://t.co/DVEr2TG8Zv'
negative,Others,"b'#cdnmedia #cdnpoli #elxn43 #PPC #MadMax #TrudeauMustGo #Trudeaublackface Okay everyone, one more with feeling: The People vs  Justin Trudeau   HD 720p https://t.co/qhxfX5RIum via @YouTube'"
negative,Others,b'#cdnpoli #elxn43 @JustinTrudeau #NotAsAdvertised @liberal_party are failures! @NDP @theJagmeetSingh can not be trusted! https://t.co/MZ8KJLle6r'
negative,Scandal,"b'#cdnpoli #elxn43 \n\n#Trudeau said he could never run for the top job, because he had too many secrets.\n\n#JustSaying https://t.co/OHOx3dzaYN'"
negative,Others,b'#cdnpoli #elxn43 \nMore false Scheer attacks by a desperate Trudeau https://t.co/ftAOv8CrJr'
